2019-09-01 16:12:09,658| WARNING|          pdf_parser|            __call__: L16-1221 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: L16-1221 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: L16-1221 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: No abstract found for W02-2236
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: J74-1001 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: J74-1001 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: J74-1001 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: J74-1001 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: P14-1114 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: W15-5702 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: No abstract found for P00-1056
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: W18-4911 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: P07-1096 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: P07-1096 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: P06-1104 issue with getting a name from an author in paper
2019-09-01 16:12:09,659| WARNING|          pdf_parser|            __call__: P06-1104 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: W11-1604 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: W11-1604 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: W11-1604 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: No abstract found for W98-0113
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: N19-3001 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: N19-3001 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: W07-0702 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: W07-0702 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: P13-1058 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: C16-2013 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: C16-2013 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: No abstract found for P02-1028
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: No sections found in J76-3003
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: L18-1298 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: H91-1073 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: H91-1073 issue with getting a name from an author in paper
2019-09-01 16:12:09,660| WARNING|          pdf_parser|            __call__: No sections found in H91-1073
2019-09-01 16:12:09,661| WARNING|          pdf_parser|            __call__: No sections found in W06-2301
